Race,Location,Date,Category,Distance
CCC by UTMB,France,9/1/2023,UTMB,100K
CCC by UTMB,France,9/1/2023,WSER,100K
Grindstone by UTMB,USA,9/23/2023,WSER,100K
Nice Côte d’Azur by UTMB,France,9/30/2023,WSER,115K
Javelina Jundred,USA,10/28/2023,WSER,100M
Doi Inthanon Thailand by UTMB,Thailand,12/8/2023,UTMB,100M
Doi Inthanon Thailand by UTMB,Thailand,12/8/2023,WSER,100M
HURT 100,USA,1/13/2024,ACs,100M
Hong Kong 100K,China,1/20/2024,WTM,100K
Rocky Raccoon,USA,2/3/2024,ACs,100M
Black Canyon 100K,USA,2/10/2024,WSER,100K
Black Canyon 100K,USA,2/10/2024,WTM,100K
Transgrancanaria 126K,Spain,2/24/2024,WTM,126K
Badwater,USA,3/23/2024,ACs,130M
Mt. Fuji 100 Mile,Japan,4/26/2024,WTM,100M
The Canyons by UTMB,USA,4/27/2024,UTMB,100K
The Canyons by UTMB,USA,4/27/2024,WSER,100K
Maderia Island Ultra-Trail 115K,Portugal,4/27/2024,WTM,115K
Cocodona 250,USA,5/6/2024,200+,250M
Old Dominion,USA,6/1/2024,ACs,100M
Swiss Canyon Trail 111K,Switzerland,6/8/2024,WTM,111K
South Downs Way 100 Mile,UK,6/8/2024,WTM,100M
Comrades,South Africa,6/9/2024,ACs,88K
Tahoe 200,USA,6/14/2024,200+,200M
Western States Endurance Run,USA,6/27/2024,WSER,100M
Western States Endurance Run,USA,6/29/2024,ACs,100M
Val d'Aran by UTMB,France,7/3/2024,UTMB,100M
Quebec Mega Trail 100 Mile,Canada,7/5/2024,WTM,100M
Hardrock,USA,7/12/2024,ACs,100M
Vermont 100,USA,7/19/2024,ACs,100M
High Lonesome,USA,7/19/2024,ACs,100M
Angeles Crest,USA,8/3/2024,ACs,100M
Bigfoot 200,USA,8/9/2024,200+,200M
Eastern States,USA,8/10/2024,ACs,100M
Leadville,USA,8/19/2024,ACs,100M
Grand Raid des Pyrénées,France,8/23/2024,WTM,160K
Ultra-Trail du Mount Blanc,France,8/26/2024,UTMB,117K
OCC by UTMB,France,8/29/2024,UTMB,50K
Wasatch,USA,9/6/2024,ACs,100M
Tour de Geants,Italy,9/8/2024,200+,330K
Moab 240,USA,10/11/2024,200+,240M
Ultra-Trail Cape Town 100 Mile,South Africa,11/22/2024,WTM,100M
JFK 50,USA,11/23/2024,ACs,50M